Adresse,Stimmart,Bezirknr,Bezirksname,Wahlbezirk,Wahlbezirksart,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,BerlinOstWest,Wahlberechtigte_insgesamt,Wahlberechtigte_A1,Wahlberechtigte_A2,Wahlberechtigte_A3,W�hler,W�hler_B1,Ung�ltige_Stimmen,Gueltige_Stimmen,SPD,CDU,GR�NE,DIE_LINKE,PIRATEN,NPD,FDP,Tierschutzpartei,pro_Deutschland,Die_PARTEI,BIG,DKP,�dp,PSG,B�So,B,DL,ALFA,Tierschutzallianz,AfD,DIE_EINHEIT,DIE_VIOLETTEN,Graue_Panther,MENSCHLICHE_WELT,MIETERPARTEI,Gesundheitsforschung,EB_Bahn,EB_Bayrak,EB_�etin,EB_Di_Leo,EB_Ditsche,EB_Fielsch,EB_Friedrich,EB_Gl�ser,EB_Heine,EB_Mandik,EB_�zi?ik,EB_Quednau,EB_Sandner,EB_?en,EB_Snelinski,EB_Steinf�hr,EB_Tanriverdi,EB_Tschammer-Osten
07B4F,Erststimme,7,Tempelhof-Sch�neberg,4F,Briefwahlbezirk,4,81,W,0,0,0,0,731,731,10,719,233,134,147,66,22,0,42,0,0,0,0,0,0,8,0,0,0,5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B4G,Erststimme,7,Tempelhof-Sch�neberg,4G,Briefwahlbezirk,4,81,W,0,0,0,0,914,914,17,897,276,205,174,64,19,0,53,0,0,0,0,0,0,5,0,0,0,12,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B4H,Erststimme,7,Tempelhof-Sch�neberg,4H,Briefwahlbezirk,4,81,W,0,0,0,0,935,935,3,931,318,203,157,65,16,0,62,0,0,0,0,0,0,5,0,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B4I,Erststimme,7,Tempelhof-Sch�neberg,4I,Briefwahlbezirk,4,81,W,0,0,0,0,347,347,9,338,116,72,46,26,10,0,28,0,0,0,0,0,0,1,0,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5A,Erststimme,7,Tempelhof-Sch�neberg,5A,Briefwahlbezirk,5,81,W,0,0,0,0,760,760,9,751,187,202,108,61,26,0,54,0,8,0,0,0,0,0,3,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5B,Erststimme,7,Tempelhof-Sch�neberg,5B,Briefwahlbezirk,5,81,W,0,0,0,0,682,682,15,667,174,170,107,65,19,0,49,0,2,0,0,0,0,0,2,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5C,Erststimme,7,Tempelhof-Sch�neberg,5C,Briefwahlbezirk,5,81,W,0,0,0,0,721,721,9,712,222,207,72,44,9,0,68,0,7,0,0,0,0,0,2,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5D,Erststimme,7,Tempelhof-Sch�neberg,5D,Briefwahlbezirk,5,81,W,0,0,0,0,848,848,14,830,205,229,103,49,22,0,76,0,11,0,0,0,0,0,2,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5E,Erststimme,7,Tempelhof-Sch�neberg,5E,Briefwahlbezirk,5,81,W,0,0,0,0,895,895,14,881,233,270,67,36,22,0,88,0,11,0,0,0,0,0,5,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5F,Erststimme,7,Tempelhof-Sch�neberg,5F,Briefwahlbezirk,5,81,W,0,0,0,0,637,637,10,623,176,178,83,45,9,0,54,0,8,0,0,0,0,0,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5G,Erststimme,7,Tempelhof-Sch�neberg,5G,Briefwahlbezirk,5,81,W,0,0,0,0,754,754,15,734,205,196,77,49,17,0,72,0,3,0,0,0,0,0,3,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5H,Erststimme,7,Tempelhof-Sch�neberg,5H,Briefwahlbezirk,5,81,W,0,0,0,0,873,873,21,848,222,309,89,49,19,0,55,0,2,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B5I,Erststimme,7,Tempelhof-Sch�neberg,5I,Briefwahlbezirk,5,81,W,0,0,0,0,582,582,6,575,133,198,68,26,4,0,58,0,5,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B6A,Erststimme,7,Tempelhof-Sch�neberg,6A,Briefwahlbezirk,6,81,W,0,0,0,0,877,877,13,860,171,343,112,36,11,0,83,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B6B,Erststimme,7,Tempelhof-Sch�neberg,6B,Briefwahlbezirk,6,81,W,0,0,0,0,1039,1039,10,1026,241,379,120,26,12,0,120,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B6C,Erststimme,7,Tempelhof-Sch�neberg,6C,Briefwahlbezirk,6,81,W,0,0,0,0,705,705,19,685,161,253,68,34,10,0,61,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B6D,Erststimme,7,Tempelhof-Sch�neberg,6D,Briefwahlbezirk,6,81,W,0,0,0,0,710,710,13,688,167,239,81,46,8,0,38,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07B6E,Erststimme,7,Tempelhof-Sch�neberg,6E,Briefwahlbezirk,6,81,W,0,0,0,0,740,740,13,727,177,245,65,30,20,0,74,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
